id,city,state,country,iso3,videos,start_time,end_time,vehicle_type,upload_date,time_of_day
2302,Saitama,Saitama,Japan,JPN,[gWC-dt8S63c],"[[32], [138], [0]]","[[2822], [1330], [1806]]","[0,0,0]","[8122021,30082021,25042016]","[[0], [1], [1]]"
2674,Kushiro,Hokkaidō,Japan,JPN,"[Qeo59Tc3hI4,BLYF6qGlVSI]","[[15], [11], [0], [6715], [0, 432]]","[[1273], [362], [391], [8720], [325, 2222]]","[0,0,0,0,0]","[16022017,22052018,26052017,23052021,22012021]","[[0], [0], [0], [0], [0, 0]]"
2701,Kyoto,Kyōto,Japan,JPN,"[jcB1lCJ8XsA,K1VohtZiJbA,OwKTqEB4JRM,nMMBi-TbGdg,AQAN5yCJfjM,Oc0gmHv4JAQ,tUYoXjHwoNw,3Pjx-EiN1BY,m_ob-oJ8pk0,7U_NC0fwgTQ,1dvjyAeCtE0,7v6JZZm6IE8,ZScUdaEwSRU,6wSuZACuZcM,PzJpEiO8-oQ,OoEHEmqxUm8,aeasqbv863Q,5dPrBvxhPf8,WGtqM4JsyHg,7fjjQlEzQoE,A-2q2a7HF2c,rf_e1OCgxjk,DpNqH8fXnmE,jXNjSlbMR60]","[[247], [5], [0], [2500], [20], [3250], [2855], [17], [0, 3620, 7440], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [22], [0]]","[[1060], [2490], [3885], [4883], [3345], [3822], [3361], [495], [3640, 7195, 9214], [1775], [1741], [735], [1548], [1606], [1760], [1367], [1475], [931], [493], [509], [367], [627], [1221], [1214], [592]]","[0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0]","[13032022,13022021,11112020,23092024,9122024,15082024,12122024,2122024,8032024,1062023,2022023,9012023,18012023,26012023,3022023,5042023,6082021,3082021,5082021,6082021,7082021,10082021,17082021,9102021,18102021]","[[0], [0], [0], [0], [1], [0], [1], [1], [0, 0, 1], [0], [0], [0], [0], [0], [0], [0], [1], [1], [1], [1], [1], [1], [1], [0], [1]]"
2709,Kitakyūshū,Fukuoka,Japan,JPN,[IMAHudyq0Gw],"[[25], [43], [41], [32], [0], [0]]","[[489], [949], [1348], [1090], [2255], [130]]","[0,0,0,0,0,0]","[1102019,12102016,23022021,20072020,6052020,8122019]","[[0], [0], [0], [0], [0], [0]]"
2728,Niigata,Niigata,Japan,JPN,"[zi2sZ9p5Blk,C2WvpNE0-KA,ro6obnDsVAo,w8mYQFUPpkE]","[[2496], [10], [636, 1139], [250, 356], [284, 441]]","[[3335], [1250], [1080, 1325], [355, 854], [439, 500]]","[0,0,0,0,0]","[15042025,15082023,16042021,15042021,14042021]","[[0], [0], [0, 0], [0, 1], [0, 0]]"
2741,Islamabad,,Pakistan,PAK,"[3mdu6h-JS_s,vKWxm02YKfo,LlyQfqjnAo4,L5U-2iIaCpg,RocSW6mY0Hw,UwsAV0hD6Ug,piFmgdPjBPQ,SFp1cRi9GzY,VClmNcIkrec,WaChBcTVIqI,8MMHF8PQvDQ,RWnqclYD1og,Oy0ySUhixvE]","[[36],[43],[41],[40],[45],[0],[45,1130],[43],[42],[42],[39],[40],[42]]","[[3597],[3678],[3636],[2785],[2249],[1874],[1085,1480],[2375],[3026],[1160],[4008],[1147],[1893]]","[3,3,3,3,3,3,0,3,3,3,0,3,0]","[4082025,15072025,1112024,19102024,22102024,27102024,15102024,12102024,5102024,17092024,21092024,26092024,30092024]","[[0],[0],[0],[0],[0],[0],[0,0],[0],[0],[0],[0],[0],[0]]"
2742,Rawalpindi,,Pakistan,PAK,"[40Ho8a1NbeY,Me6vn9w8KT0]","[[36],[33]]","[[3383],[1123]]","[3,0]","[24072025,24102024]","[[0],[0]]"
2743,Kagoshima,Kagoshima,Japan,JPN,"[pljLoohchq4,jKLJisb0ZJY]","[[1035], [0]]","[[1935], [1405]]","[3,0]","[22122024,17042017]","[[0], [1]]"
2744,Kamakura,Kanagawa,Japan,JPN,[ErXolEaxeR8],[[24]],[[2716]],[0],[30052020],[[0]]
2745,Beppu,Ōita,Japan,JPN,[IMAHudyq0Gw],[[5942]],[[6860]],[0],[08122019],[[0]]
